iso3,country,region,income_group,population,food_system_need_index_main_min4,food_system_need_index_strict_all5,n_need_axes_available,dominant_need_profile,missing_need_axes,need_food_security_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,undernourishment_pct,child_stunting_pct,adult_obesity_pct,household_food_waste_kg_capita,household_food_waste_confidence,agrifood_ghg_tco2eq_per_capita,cereal_import_dependency_pct
VEN,"Venezuela, RB",Latin America & Caribbean,Not classified,28405543.0,0.6844023291424293,0.6844023291424293,5,sustainability,none,0.5355029585798816,0.6142638036809815,0.7976744186046512,0.8349056603773585,0.6396648044692738,5.9,13.4,25.5,93.0,Medium confidence,3.6114980269871975,61.2
LBN,Lebanon,Middle East & North Africa,Lower middle income,5805962.0,0.6816461478285951,0.6816461478285951,5,food_waste,none,0.6331360946745562,0.7116401253100118,0.944186046511628,0.2924528301886792,0.8268156424581006,8.7,13.9,32.2,128.0,Medium confidence,1.2507398429407564,92.7
ARE,United Arab Emirates,Middle East & North Africa,High income,10986400.0,0.6813891372046333,0.6813891372046333,5,supply_vulnerability,none,0.1893491124260355,0.9308510638297872,0.8372093023255814,0.4858490566037736,0.9636871508379888,2.5,,34.25,99.0,Low confidence,1.780384848540013,100.0
PAN,Panama,Latin America & Caribbean,High income,4515577.0,0.6762337660053978,0.6762337660053978,5,food_waste,none,0.5266272189349113,0.5965523430361572,0.8534883720930233,0.7452830188679245,0.659217877094972,5.7,15.9,22.700000000000003,101.0,Medium confidence,2.808828439864939,64.5
OMN,Oman,Middle East & North Africa,High income,5281538.0,0.674874218222015,0.674874218222015,5,food_waste,none,0.5355029585798816,0.6398479310794936,0.8372093023255814,0.6132075471698113,0.7486033519553073,5.9,11.4,28.3,99.0,Low confidence,2.1922399876702583,82.2
MOZ,Mozambique,Sub-Saharan Africa,Low income,34631766.0,0.6704072260615516,0.6704072260615516,5,food_security,none,0.8668639053254438,0.5337749641039029,0.7465116279069768,0.6462264150943396,0.5586592178770949,21.8,36.7,6.9,92.0,Low confidence,2.343257863315431,45.9
JOR,Jordan,Middle East & North Africa,Lower middle income,11552876.0,0.6649833391374005,0.6649833391374005,5,supply_vulnerability,none,0.7544378698224852,0.6306617934995431,0.8534883720930233,0.1226415094339622,0.9636871508379888,14.3,8.2,35.65,101.0,Low confidence,0.7390190633051025,100.0
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,24672760.0,0.6635081366219098,0.6635081366219098,5,food_waste,none,0.9763313609467456,0.8159182874298394,0.9883720930232558,0.1179245283018868,0.4189944134078212,39.0,27.9,27.85,172.0,Medium confidence,0.7335529182791061,29.2
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2521139.0,0.6615868413582505,0.6615868413582505,5,sustainability,none,0.8994082840236687,0.6096952095026759,0.055813953488372,1.0,0.7430167597765364,24.0,28.9,18.7,50.0,Medium confidence,22.732134959635307,81.6
TCD,Chad,Sub-Saharan Africa,Low income,20299123.0,0.6538893372524038,0.6538893372524038,5,food_security,none,0.9467455621301776,0.4818235217334551,0.7465116279069768,0.8820754716981132,0.2122905027932961,32.0,31.9,6.0,92.0,Low confidence,5.533294398974773,3.8
BOL,Bolivia,Latin America & Caribbean,Lower middle income,12413315.0,0.6535174243759796,0.6535174243759796,5,sustainability,none,0.8668639053254438,0.5118538702519253,0.627906976744186,0.9481132075471698,0.3128491620111732,21.8,16.1,20.05,90.0,Low confidence,9.481510386226402,17.1
ECU,Ecuador,Latin America & Caribbean,Upper middle income,18135478.0,0.6489582874845832,0.6489582874845832,5,food_waste,none,0.7159763313609467,0.5115438585041118,0.8186046511627907,0.7405660377358491,0.4581005586592179,12.1,17.4,19.8,96.0,Medium confidence,2.778509339538776,34.7
HTI,Haiti,Latin America & Caribbean,Lower middle income,11772557.0,0.6487772343996494,0.6487772343996494,5,food_security,none,1.0,0.6448081190445112,0.627906976744186,0.2169811320754717,0.7541899441340782,54.2,22.0,22.4,90.0,Low confidence,1.0703256225474211,82.5
